date,Estimated,Projection,SPArises,migration
1992,300.7,,,
1993,301.2,,,
1994,300.7,,,
1995,300.5,,,
1996,300,,,
1997,299.6,,,
1998,299.8,,,
1999,299.1,,,
2000,298.5,,,
2001,297.9,,,
2002,297.5,,,
2003,298.2,,,
2004,298.8,,,
2005,298.6,,,
2006,298.8,,,
2007,302.5,,,
2008,306.5,,,
2009,310.7,,,
2010,312.5,,,
2011,309.8,,,
2012,311.4,,,
2013,311,,,
2014,310.3,,,
2015,307.8,,,
2016,304.6,,,
2017,299.7,299.7,299.7,299.7
2018,,295.6,295.6,295.5
2019,,288.2,288.2,288.1
2020,,281.4,281.4,281.2
2021,,282.8,282.8,282.5
2022,,286.7,286.7,286.2
2023,,291,291,290.2
2024,,295.6,295.6,294.6
2025,,300.6,300.6,299.3
2026,,302.1,302.1,300.5
2027,,295.6,295.6,293.7
2028,,292.5,292.5,290.3
2029,,298.6,298.6,295.9
2030,,305,305,301.8
2031,,311.7,311.7,307.9
2032,,318.3,318.3,314
2033,,324.7,324.7,319.6
2034,,330.8,330.8,325
2035,,336.3,336.3,329.6
2036,,341.5,341.5,334
2037,,345.9,345.9,337.4
2038,,350.7,350.7,341.2
2039,,354.5,329.7,343.9
2040,,357.1,333.3,345.4
2041,,358.5,335.7,345.7
2042,,359.4,337,345.5
